Time 133: PC=0x123 instruction = 0x49C (ISZ), rA = 0x04F, rL = 1
Time 134: PC=0x124 instruction = 0xE80 (CLA), rA = 0x000, rL = 1
Time 135: PC=0x125 instruction = 0xA9F (JMP), rA = 0x000, rL = 1
Time 138: PC=0x11F instruction = 0x39C (TAD I), rA = 0x04E, rL = 1
Time 139: PC=0x120 instruction = 0xF28 (SZA RSS), rA = 0x04E, rL = 1
Time 140: PC=0x122 instruction = 0xC20 (IOT 4), rA = 0x04E, rL = 1
Time 142: PC=0x123 instruction = 0x49C (ISZ), rA = 0x04E, rL = 1
Time 143: PC=0x124 instruction = 0xE80 (CLA), rA = 0x000, rL = 1
Time 144: PC=0x125 instruction = 0xA9F (JMP), rA = 0x000, rL = 1
Time 147: PC=0x11F instruction = 0x39C (TAD I), rA = 0x045, rL = 1
Time 148: PC=0x120 instruction = 0xF28 (SZA RSS), rA = 0x045, rL = 1
Time 149: PC=0x122 instruction = 0xC20 (IOT 4), rA = 0x045, rL = 1
Time 151: PC=0x123 instruction = 0x49C (ISZ), rA = 0x045, rL = 1
Time 152: PC=0x124 instruction = 0xE80 (CLA), rA = 0x000, rL = 1
Time 153: PC=0x125 instruction = 0xA9F (JMP), rA = 0x000, rL = 1
Time 156: PC=0x11F instruction = 0x39C (TAD I), rA = 0x00A, rL = 1
Time 157: PC=0x120 instruction = 0xF28 (SZA RSS), rA = 0x00A, rL = 1
Time 158: PC=0x122 instruction = 0xC20 (IOT 4), rA = 0x00A, rL = 1
Time 160: PC=0x123 instruction = 0x49C (ISZ), rA = 0x00A, rL = 1
Time 161: PC=0x124 instruction = 0xE80 (CLA), rA = 0x000, rL = 1
Time 162: PC=0x125 instruction = 0xA9F (JMP), rA = 0x000, rL = 1
Time 165: PC=0x11F instruction = 0x39C (TAD I), rA = 0x000, rL = 1
Time 166: PC=0x120 instruction = 0xF28 (SZA RSS), rA = 0x000, rL = 1
Time 168: PC=0x121 instruction = 0xB9D (JMP I), rA = 0x000, rL = 1
Time 169: PC=0x11B instruction = 0xF02 (HLT), rA = 0x000, rL = 1
DONE
